PrimaryKey,DateUpdated,ProcuringAgencyOrganisation,ProjectName,ProjectShortDescription,ParentProjectID,ProjectStatus,FundingStatus,ProcurementType,ProcurementMethod,ProjectRegion,ProjectCityTown,ProjectSuburb,ProjectSector,EstimatedProjectValueRange,EstimatedQuarterBusinessCaseStart,EstimatedQuarterBusinessCaseCompletion,EstimatedQuarterProcurementStart,EstimatedQuarterProcurementCompletion,EstimatedQuarterConstructionStart,EstimatedQuarterConstructionCompletion,EstimatedQuarterProjectRangeStart,EstimatedQuarterProjectRangeCompletion,ProjectInfoURL,EstimatedProjectValueNote,Contact,Latitude,Longitude
IP009449,14/03/2024,Hurunui District Council,Stormwater - New pipe connection in Conical Rd - Hanmer Springs.,Stormwater - New pipe connection in Conical Rd - Hanmer Springs.,,In planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Water,< 1 million,,,,,,,2023-Q3,2025-Q2,,,,,
IP009450,14/03/2024,Hurunui District Council,Stormwater - Drainage improvement work in Scarborough Terrace - Sub catchment 3 - Hanmer Springs.,Stormwater - Drainage improvement work in Scarborough Terrace - Sub catchment 3 - Hanmer Springs.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Water,< 1 million,,,,,,,2029-Q3,2030-Q2,,,,,
IP009451,14/03/2024,Hurunui District Council,Stormwater - Argelins/Jacks Pass project - Hanmer Springs.,Stormwater - Argelins/Jacks Pass project - Hanmer Springs.,,In planning,Funding source to be confirmed,Open,Construct only,Canterbury,,,Water,1 - 5 million,,,,,,,2022-Q3,2025-Q2,,,,,
IP009453,14/03/2024,Hurunui District Council,Stormwater - Improvement work in Heritage pond and Chisholm pond - Hanmer Springs.,Stormwater - Improvement work in Heritage pond and Chisholm pond - Hanmer Springs.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Water,< 1 million,,,,,,,2027-Q3,2028-Q2,,,,,
IP009454,14/03/2024,Hurunui District Council,Stormwater - Drainage improvement work in Scarborough Terrace - Sub catchment 4 - Hanmer Springs.,Stormwater - Drainage improvement work in Scarborough Terrace - Sub catchment 4 - Hanmer Springs.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Water,< 1 million,,,,,,,2025-Q3,2026-Q2,,,,,
IP009455,14/03/2024,Hurunui District Council,Stormwater - Drainage improvement work in Scarborough Terrace - Sub catchment 2 - Hanmer Springs.,Stormwater - Drainage improvement work in Scarborough Terrace - Sub catchment 2 - Hanmer Springs.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Water,< 1 million,,,,,,,2026-Q3,2027-Q2,,,,,
IP009456,14/03/2024,Hurunui District Council,Stormwater - Drainage improvement work in Scarborough Terrace - Sub catchment 1 - Hanmer Springs.,Stormwater - Drainage improvement work in Scarborough Terrace - Sub catchment 1 - Hanmer Springs.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Water,< 1 million,,,,,,,2027-Q3,2028-Q2,,,,,
IP009457,14/03/2024,Hurunui District Council,Stormwater - No 51 Allandale Road – Construct a 450m open drain and a culvert across - Hawarden.,Stormwater - No 51 Allandale Road – Construct a 450m open drain and a culvert across - Hawarden.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Water,< 1 million,,,,,,,2022-Q3,2025-Q2,,,,,
IP009458,14/03/2024,Hurunui District Council,Stormwater - Flow diversion at south east corner of 8 Moore Street - Hawarden.,Stormwater - Flow diversion at south east corner of 8 Moore Street - Hawarden.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Water,< 1 million,,,,,,,2024-Q3,2025-Q2,,,,,
IP009459,14/03/2024,Hurunui District Council,Stormwater - Drain cleaning at Seymour ST - Hawarden.,Stormwater - Drain cleaning at Seymour ST - Hawarden.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Water,< 1 million,,,,,,,2025-Q3,2026-Q2,,,,,
IP009460,14/03/2024,Hurunui District Council,Stormwater - Cut off drain along Kellaway Terrace to Little drive - Waikari.,Stormwater - Cut off drain along Kellaway Terrace to Little drive - Waikari.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Water,< 1 million,,,,,,,2025-Q3,2026-Q2,,,,,
IP009461,14/03/2024,Hurunui District Council,Stormwater - New drain section through Waikari Domain - Waikari.,Stormwater - New drain section through Waikari Domain - Waikari.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Water,< 1 million,,,,,,,2026-Q3,2027-Q2,,,,,
IP009462,14/03/2024,Hurunui District Council,Subsidised Roading - Unsealed Road Metalling - District Wide.,Subsidised Roading - Unsealed Road Metalling - District Wide.,,Under construction,Funding source confirmed,Open,Construct only,Canterbury,,,Transport,5 - 25 million,,,,,,,2021-Q3,2031-Q2,,,,,
IP009463,14/03/2024,Hurunui District Council,Subsidised Roading - Sealed Road Resurfacing - District Wide.,Subsidised Roading - Sealed Road Resurfacing - District Wide.,,Under construction,Funding source confirmed,Open,Construct only,Canterbury,,,Transport,5 - 25 million,,,,,,,2021-Q3,2031-Q2,,,,,
IP009464,14/03/2024,Hurunui District Council,Subsidised Roading - Drainage Renewals - District Wide.,Subsidised Roading - Drainage Renewals - District Wide.,,Under construction,Funding source confirmed,Open,Construct only,Canterbury,,,Transport,1 - 5 million,,,,,,,2021-Q3,2031-Q2,,,,,
IP009465,14/03/2024,Hurunui District Council,Subsidised Roading - Sealed Road Pavement Rehab - District Wide.,Subsidised Roading - Sealed Road Pavement Rehab - District Wide.,,Under construction,Funding source confirmed,Open,Construct only,Canterbury,,,Transport,5 - 25 million,,,,,,,2021-Q3,2031-Q2,,,,,
IP009466,14/03/2024,Hurunui District Council,Subsidised Roading - Structures Component Replcm’ts - District Wide.,Subsidised Roading - Structures Component Replcm’ts - District Wide.,,Under construction,Funding source confirmed,Open,Construct only,Canterbury,,,Transport,1 - 5 million,,,,,,,2021-Q3,2031-Q2,,,,,
IP009467,14/03/2024,Hurunui District Council,Subsidised Roading - Bridge and structures renewals - District Wide.,Subsidised Roading - Bridge and structures renewals - District Wide.,,Under construction,Funding source confirmed,Open,Construct only,Canterbury,,,Transport,< 1 million,,,,,,,2021-Q3,2031-Q2,,,,,
IP009468,14/03/2024,Hurunui District Council,Subsidised Roading - Traffic Services Renewals - District Wide.,Subsidised Roading - Traffic Services Renewals - District Wide.,,Under construction,Funding source confirmed,Open,Construct only,Canterbury,,,Transport,1 - 5 million,,,,,,,2021-Q3,2031-Q2,,,,,
IP009469,14/03/2024,Hurunui District Council,Subsidised Roading - Low Cost Low Risk Capital Works - District Wide.,Subsidised Roading - Low Cost Low Risk Capital Works - District Wide.,,Under construction,Funding source confirmed,Open,Construct only,Canterbury,,,Transport,5 - 25 million,,,,,,,2021-Q3,2031-Q2,,,,,
IP009473,14/03/2024,Hurunui District Council,Special Purpose Roading - Traffic Services Renewal - District Wide.,Special Purpose Roading - Traffic Services Renewal - District Wide.,,Under construction,Fully funded,Open,Construct only,Canterbury,,,Transport,< 1 million,,,,,,,2021-Q3,2024-Q2,,,,,
IP009474,14/03/2024,Hurunui District Council,General Footpath Renewals (NZTA Funded) - District Wide.,General Footpath Renewals (NZTA Funded) - District Wide.,,Under construction,Funding source confirmed,Open,Construct only,Canterbury,,,Transport,1 - 5 million,,,,,,,2021-Q3,2031-Q2,,,,,
IP009475,14/03/2024,Hurunui District Council,Planned Footpath Renewals - Amberley.,Planned Footpath Renewals - Amberley.,,Under construction,Funding source confirmed,Open,Construct only,Canterbury,,,Transport,< 1 million,,,,,,,2022-Q3,2031-Q2,,,,,
IP009476,14/03/2024,Hurunui District Council,Planned Footpath Renewals - Leithfield.,Planned Footpath Renewals - Leithfield.,,Early planning,Funding source to be confirmed,Open,Construct only,Canterbury,,,Transport,< 1 million,,,,,,,2025-Q3,2028-Q2,,,,,
IP009477,14/03/2024,Hurunui District Council,Planned Footpath Renewals - Culverden.,Planned Footpath Renewals - Culverden.,,Early planning,Funding source to be confirmed,Open,Construct only,Canterbury,,,Transport,< 1 million,,,,,,,2024-Q3,2031-Q2,,,,,
IP009479,14/03/2024,Hurunui District Council,Planned Footpath Renewals - Waiau.,Planned Footpath Renewals - Waiau.,,Early planning,Funding source to be confirmed,Open,Construct only,Canterbury,,,Transport,< 1 million,,,,,,,2028-Q3,2031-Q2,,,,,
IP009480,14/03/2024,Hurunui District Council,Planned Footpath Renewals - Cheviot.,Planned Footpath Renewals - Cheviot.,,Early planning,Funding source to be confirmed,Open,Construct only,Canterbury,,,Transport,< 1 million,,,,,,,2028-Q3,2030-Q2,,,,,
IP009481,14/03/2024,Hurunui District Council,Planned Footpath Renewals - Waipara.,Planned Footpath Renewals - Waipara.,,Early planning,Funding source to be confirmed,Open,Construct only,Canterbury,,,Transport,< 1 million,,,,,,,2024-Q3,2026-Q2,,,,,
IP009482,14/03/2024,Hurunui District Council,Planned Footpath Renewals - Hanmer Springs.,Planned Footpath Renewals - Hanmer Springs.,,Early planning,Funding source to be confirmed,Open,Construct only,Canterbury,,,Transport,< 1 million,,,,,,,2023-Q3,2025-Q2,,,,,
IP009483,14/03/2024,Hurunui District Council,Planned Footpath Renewals - Hawarden.,Planned Footpath Renewals - Hawarden.,,Early planning,Funding source to be confirmed,Open,Construct only,Canterbury,,,Transport,< 1 million,,,,,,,2025-Q3,2031-Q2,,,,,
IP009484,14/03/2024,Hurunui District Council,Planned Footpath Renewals - Waikari.,Planned Footpath Renewals - Waikari.,,Early planning,Funding source to be confirmed,Open,Construct only,Canterbury,,,Transport,< 1 million,,,,,,,2026-Q3,2027-Q2,,,,,
IP009485,14/03/2024,Hurunui District Council,New Footpaths - Amberley.,New Footpaths - Amberley.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Transport,< 1 million,,,,,,,2021-Q3,2031-Q2,,,,,
IP009486,14/03/2024,Hurunui District Council,New Footpaths - Amberley Ward.,New Footpaths - Amberley Ward.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Transport,< 1 million,,,,,,,2021-Q3,2031-Q2,,,,,
IP009489,14/03/2024,Hurunui District Council,Roadside Construction - Street Lighting - Hanmer Springs.,Roadside Construction - Street Lighting - Hanmer Springs.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Transport,< 1 million,,,,,,,2021-Q3,2031-Q2,,,,,
IP009492,14/03/2024,Hurunui District Council,Hamner Springs Subdivision Expenditure.,Hamner Springs Subdivision Expenditure.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Transport,< 1 million,,,,,,,2021-Q3,2031-Q2,,,,,
IP009495,14/03/2024,Hurunui District Council,Social Housing - Internal refurbishments (34 units @ $30 000 each over 20 years) - District Wide.,Social Housing - Internal refurbishments (34 units @ $30 000 each over 20 years) - District Wide.,,Under construction,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Housing,< 1 million,,,,,,,2021-Q3,2031-Q2,,,,,
IP009496,14/03/2024,Hurunui District Council,Heat Pump Replacements (34 units @ $2 500 each over 10 years) - District Wide.,Heat Pump Replacements (34 units @ $2 500 each over 10 years) - District Wide.,,Under construction,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Housing,< 1 million,,,,,,,2021-Q3,2031-Q2,,,,,
IP009497,14/03/2024,Hurunui District Council,Social Housing - Oven Replacements (34 units $50 000 over 10 years) - District Wide.,Social Housing - Oven Replacements (34 units $50 000 over 10 years) - District Wide.,,Under construction,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Housing,< 1 million,,,,,,,2021-Q3,2031-Q2,,,,,
IP009502,14/03/2024,Hurunui District Council,Social Housing - 20 Seddon Street  Replacing Roof - Cheviot.,Social Housing - 20 Seddon Street  Replacing Roof - Cheviot.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Housing,< 1 million,,,,,,,2029-Q3,2030-Q2,,,,,
IP009503,14/03/2024,Hurunui District Council,Social Housing - Internal Refurbishments (2 houses @ $35 000 each over 20 years) - District Wide.,Social Housing - Internal Refurbishments (2 houses @ $35 000 each over 20 years) - District Wide.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Housing,< 1 million,,,,,,,2023-Q3,2030-Q2,,,,,
IP009506,14/03/2024,Hurunui District Council,Earthquake Prone Buildings strengthening work - District Wide.,Earthquake Prone Buildings strengthening work - District Wide.,,Early planning,Funding source to be confirmed,Open,Design and construct,Canterbury,,,Community facilities,1 - 5 million,,,,,,,2023-Q3,2028-Q2,,,,,
IP009510,14/03/2024,Hurunui District Council,Medical Centre - Interior Paint - Culverden.,Medical Centre - Interior Paint - Culverden.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Health,< 1 million,,,,,,,2029-Q3,2030-Q2,,,,,
IP009511,14/03/2024,Hurunui District Council,Medical Centre - Exterior Paint - Culverden.,Medical Centre - Exterior Paint - Culverden.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Health,< 1 million,,,,,,,2029-Q3,2030-Q2,,,,,
IP009512,14/03/2024,Hurunui District Council,Medical Centre - Parking area resealing (from previous LTP) - Culverden.,Medical Centre - Parking area resealing (from previous LTP) - Culverden.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Health,< 1 million,,,,,,,2023-Q3,2024-Q2,,,,,
IP009513,14/03/2024,Hurunui District Council,Medical Centre - Floor coverings replacement - Culverden.,Medical Centre - Floor coverings replacement - Culverden.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Health,< 1 million,,,,,,,2029-Q3,2030-Q2,,,,,
IP009517,14/03/2024,Hurunui District Council,Medical Centre - Exterior repaint - Cheviot.,Medical Centre - Exterior repaint - Cheviot.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Health,< 1 million,,,,,,,2028-Q3,2029-Q2,,,,,
IP009518,14/03/2024,Hurunui District Council,Medical Centre - Internal paint - Cheviot.,Medical Centre - Internal paint - Cheviot.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Health,< 1 million,,,,,,,2026-Q3,2027-Q2,,,,,
IP009519,14/03/2024,Hurunui District Council,Medical Centre - Carpet renewal/repairs (from previous LTP) - Hanmer Springs.,Medical Centre - Carpet renewal/repairs (from previous LTP) - Hanmer Springs.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Health,< 1 million,,,,,,,2027-Q3,2028-Q2,,,,,
IP009520,14/03/2024,Hurunui District Council,Medical Centre - External and Roof Painting - Hanmer Springs.,Medical Centre - External and Roof Painting - Hanmer Springs.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Health,< 1 million,,,,,,,2028-Q3,2029-Q2,,,,,
IP009527,14/03/2024,Hurunui District Council,Leithfield Beach Community Centre - Exterior Paint including roof.,Leithfield Beach Community Centre - Exterior Paint including roof.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2025-Q3,2026-Q2,,,,,
IP009529,14/03/2024,Hurunui District Council,Leithfield Beach Community Centre - Vinyl replacement.,Leithfield Beach Community Centre - Vinyl replacement.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2028-Q3,2029-Q2,,,,,
IP009532,14/03/2024,Hurunui District Council,Walking & Cycling Routes - Amberley.,Walking & Cycling Routes - Amberley.,,Under construction,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2022-Q3,2025-Q2,,,,,
IP009535,14/03/2024,Hurunui District Council,Cemeteries - berm construction - district wide.,Cemeteries - berm construction - district wide.,,Under construction,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2021-Q3,2031-Q2,,,,,
IP009537,14/03/2024,Hurunui District Council,Amberley Domain - Eastern Reserve Purchase - Amberley.,Amberley Domain - Eastern Reserve Purchase - Amberley.,,In planning,Fully funded,Selective,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2022-Q3,2025-Q2,,,,,
IP009539,14/03/2024,Hurunui District Council,Amberley Domain Turf Management - Amberley.,Amberley Domain Turf Management - Amberley.,,Under construction,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2022-Q3,2028-Q2,,,,,
IP009540,14/03/2024,Hurunui District Council,Amberley Reserves - Neighbourhood Reserves - Amberley.,Amberley Reserves - Neighbourhood Reserves - Amberley.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2022-Q3,2029-Q2,,,,,
IP009541,14/03/2024,Hurunui District Council,Amberley Reserves - Passive Links - Amberley.,Amberley Reserves - Passive Links - Amberley.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2022-Q3,2031-Q2,,,,,
IP009542,14/03/2024,Hurunui District Council,Amberley Reserves - Chamberlain Park - Edging  Shade sails  Replace seesaw etc.,Amberley Reserves - Chamberlain Park - Edging  Shade sails  Replace seesaw  extend and 2 additions items - Amberley.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2024-Q3,2025-Q2,,,,,
IP009543,14/03/2024,Hurunui District Council,Amberley Beach Reserve - Tennis Courts - Amberley.,Amberley Beach Reserve - Tennis Courts - Amberley.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2024-Q3,2025-Q2,,,,,
IP009545,14/03/2024,Hurunui District Council,Leithfield Beach Reserve - Electrical  accessway  abultion blocks - Leithfield.,Leithfield Beach Reserve - Electrical  accessway  abultion blocks - Leithfield.,,Under construction,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2022-Q3,2028-Q2,,,,,
IP009547,14/03/2024,Hurunui District Council,Waiau Village Green Reserve - Playground Equipment - Waiau.,Waiau Village Green Reserve - Playground Equipment - Waiau.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2022-Q3,2026-Q2,,,,,
IP009548,14/03/2024,Hurunui District Council,Scargill Motunau Recreation Reserve - Access Way Sealing - Greta Valley.,Scargill Motunau Recreation Reserve - Access Way Sealing - Greta Valley.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2023-Q3,2025-Q2,,,,,
IP009549,14/03/2024,Hurunui District Council,Scargill Motunau Recreation Reserve - Septic Tank System at Cricket Pavilion - Greta Valley.,Scargill Motunau Recreation Reserve - Septic Tank System at Cricket Pavilion - Greta Valley.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2024-Q3,2025-Q2,,,,,
IP009550,14/03/2024,Hurunui District Council,Glenmark Reserve - Walkway from Village to Reserve - Waipara.,Glenmark Reserve - Walkway from Village to Reserve - Waipara.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2023-Q3,2024-Q2,,,,,
IP009552,14/03/2024,Hurunui District Council,Motunau Beach Reserve - South Cliff Protection - Motunau Beach.,Motunau Beach Reserve - South Cliff Protection - Motunau Beach.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2023-Q3,2028-Q2,,,,,
IP009564,14/03/2024,Hurunui District Council,Transfer Stations - Transfer Station Improvements for Cheviot Township - Cheviot.,Transfer Stations - Transfer Station Improvements for Cheviot Township - Cheviot.,,In planning,Funding source confirmed,Selective,Construct only,Canterbury,,,Waste management,< 1 million,,,,,,,2022-Q3,2025-Q2,,,,,
IP009569,14/03/2024,Hurunui District Council,Transfer Stations - Amberley TS - replacement of the forklift - Amberley.,Transfer Stations - Amberley TS - replacement of the forklift - Amberley.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Waste management,< 1 million,,,,,,,2024-Q3,2025-Q2,,,,,
IP009570,14/03/2024,Hurunui District Council,Transfer Stations - Amberley TS - replace out of hours recycling bins - Amberley.,Transfer Stations - Amberley TS - replace out of hours recycling bins - Amberley.,,Early planning,Fully funded,Selective,Construct only,Canterbury,,,Waste management,< 1 million,,,,,,,2023-Q3,2024-Q2,,,,,
IP009573,14/03/2024,Hurunui District Council,Transfer Stations - Amberley transfer station - expansion and upgrade - Amberley.,Transfer Stations - Amberley transfer station - expansion and upgrade - Amberley.,,Early planning,Funding source to be confirmed,Selective,Construct only,Canterbury,,,Waste management,1 - 5 million,,,,,,,2023-Q3,2028-Q2,,,,,
IP009576,14/03/2024,Hurunui District Council,Offices - Full Repaint Exterior Cheviot - Cheviot.,Offices - Full Repaint Exterior Cheviot - Cheviot.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2023-Q3,2026-Q2,,,,,
IP009578,14/03/2024,Hurunui District Council,Offices - Interior Repaint Hanmer SS - Hanmer Springs.,Offices - Interior Repaint Hanmer SS - Hanmer Springs.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2025-Q3,2026-Q2,,,,,
IP009579,14/03/2024,Hurunui District Council,Offices - Interior Repaint Cheviot SS - Cheviot.,Offices - Interior Repaint Cheviot SS - Cheviot.,,Early planning,Funding source to be confirmed,Direct,Construct only,Canterbury,,,Community facilities,< 1 million,,,,,,,2023-Q3,2026-Q2,,,,,
IP008583,26/11/2023,Hutt City Council,Cross Valley Connections.,A three stage programme of investment in Hutt City that involves walking  cycling and accessibility active mode improvements on Petone Esplanade  Hutt Road and Ewen Bridge; bus priority improvements at key intersections and developing improved active mode and micromobility access plans to the Petone  Ava and Woburn train stations. Stage two (2025-2028) will involve improvements to the Gracefield interchange  and stage three (2028 onwards) will look at a new east-west multi-modal transport corridor that caters for all users.,,In planning,Funding source to be confirmed,To be determined,To be determined,Wellington,,,Transport,25 - 50 million,2024-Q2,2025-Q2,2025-Q1,2028-Q2,2027-Q3,2032-Q4,2021-Q4,2032-Q4,,,Declan Millin,,
IP008584,30/11/2023,Hutt City Council,Tupua Horo Nuku.,A shared path stretching 4.4km along the Eastern Bays from Ma-koromiko to Ngau matau.,,Under construction,Funding source confirmed,Direct,Alliance,Wellington,,,Transport,50 - 100 million,,,,,2022-Q3,2026-Q2,2019-Q3,2026-Q2,https://www.huttcity.govt.nz/council/our-projects/cycleways-and-shared-paths/cycleways-and-shared-paths-tupua-horo-nuku,,Rona Lemalu,,
IP008585,6/11/2023,Hutt City Council,Micromobility Programme.,A series of projects to develop a connected cycleway network across Hutt City. This also includes accessibility and walking improvements.,,On hold,Funding source to be confirmed,Open,Design and construct,Wellington,,,Transport,5 - 25 million,2020-Q3,2021-Q2,2025-Q1,2026-Q4,,,2020-Q3,2032-Q4,,,Declan Millin,,
IP008925,11/03/2024,Hutt City Council,Te Takamori o Te Awa Kairangi (RiverLink(.,A partnership programme with Greater Wellington Regional Council  Waka Kotahi  Taranaki Whānui ki Te Upoko o Te Ika (Taranaki Whānui) and Ngāti Toa Rangitira (Ngāti Toa) and Hutt City Council to reorient the city to face and connect with Te Awa Kairangi and respond to climate change by:- Providing resilient transport options- Improving flood protection- Stimulating and support Urban regeneration and economic development. Note - Project dates need to be updated and we will do so in due course and report these back to Infrastructure Commission in the next report.,,In procurement,Funding source to be confirmed,Open,Alliance,Wellington,,,Other not specified,500 million - 1 billion,2019-Q2,2021-Q3,2022-Q4,2023-Q4,,,2019-Q2,2027-Q4,,,Rachel Heka,,
IP008926,11/03/2023,Hutt City Council,Infrastructure Acceleration Funding.,Delivery of the following infrastructure projects in line with the Funding Agreement with Kāinga Ora:- Melling Stormwater Pipeline- Woburn Stormwater Pipeline- Wastewater PipelineProjects are to faciliate housing development in Lower Hutt.,,In planning,Funding source confirmed,Open,To be determined,Wellington,,,Water,100 - 250 million,2021-Q3,2022-Q4,,,2025-Q3,2028-Q2,2022-Q3,2028-Q2,,,Rachel Heka,,
IP009899,6/11/2023,Hutt City Council,Naenae Town Centre Development.,Seismic strengthening and refurbishment of old Nanae Post Office  conversion to Community Centre.,,Under construction,Fully funded,Open,Construct only,Wellington,,,Community facilities,5 - 25 million,,,,,2023-Q1,2024-Q2,2021-Q4,2024-Q4,https://www.huttcity.govt.nz/council/our-projects/naenae-projects,,andrew.quinn@huttcity.govt.nz,,
IP009900,30/11/2023,Hutt City Council,Eastern Hutt Road - Response and Recovery.,Remediation works of three slip sites along Eastern Hutt Road. The works involve the construction of erosion control matting  shotcrete retaining wall and catch fences at 46 Holborn Drive  58-60 Holborn Drive and 29-30 Whitechapel Grove.,,Under construction,Funding source confirmed,Direct,Construct only,Wellington,,,Transport,5 - 25 million,,,2023-Q2,2023-Q3,2023-Q3,2024-Q1,2023-Q3,2024-Q1,https://www.huttcity.govt.nz/council/our-projects/eastern-hutt-road-slip,,Arun Joy,,
IP010456,30/11/2023,Hutt City Council,Naenae Town Centre Development.,Enhancements to Walter Mildenhall Park - incoporating active play  relaxation space and hard/soft landscaping.,,In planning,Fully funded,Open,Construct only,Wellington,,,Community facilities,1 - 5 million,,,,,2024-Q4,2025-Q2,2023-Q3,2026-Q2,https://www.huttcity.govt.nz/council/our-projects/naenae-projects,,andrew.quinn@huttcity.govt.nz,,
IP010457,1/11/2023,Hutt City Council,Naenae Pool and Ftness Centre.,New build - Naenae Pool and Fitness Centre featuring 50m FINA compliant competition pool  deep leisure  toddler's pool  changing rooms  front-of-house/staff offices  reception desk and foyer  fitness centre.,,Under construction,Fully funded,Open,Design and construct,Wellington,,,Community facilities,50 - 100 million,,,,,2022-Q3,2024-Q3,2020-Q3,2025-Q3,https://www.huttcity.govt.nz/council/our-projects/naenae-projects,,andrew.quinn@huttcity.govt.nz,,
kaOrProject_1000,31/12/2023,Kāinga Ora–Homes and Communities,Cheshire St A (EPCCNW)  Cannons Creek  Porirua.,This housing development project includes infrastructure to deliver 4 new units.,,In Planning,Funding Source Confirmed,To be determined,To be determined,Wellington,,,Housing,1 - 5 million,,,,,,2024-Q3,2021-Q1,2024-Q3,,,imo@kaingaora.govt.nz,,
kaOrProject_1001,31/12/2023,Kāinga Ora–Homes and Communities,Westmeath St (EPWN )  Waitangirua  Porirua.,This housing development project includes infrastructure to deliver 4 new units.,,In Planning,Funding Source Confirmed,To be determined,To be determined,Wellington,,,Housing,1 - 5 million,,,,,,2024-Q4,2021-Q1,2024-Q4,,,imo@kaingaora.govt.nz,,
kaOrProject_1004,31/12/2023,Kāinga Ora–Homes and Communities,Mahia Rd   Wattle Downs  Auckland (OSM).,This housing development project includes infrastructure to deliver 13 new units.,,In Planning,Funding Source Confirmed,To be determined,To be determined,Auckland,,,Housing,5 - 25 million,,,,,,2024-Q4,2021-Q3,2024-Q4,,,imo@kaingaora.govt.nz,,
kaOrProject_1015,31/12/2023,Kāinga Ora–Homes and Communities,Weymouth Rd   Manurewa  Auckland (OSM).,This housing development project includes infrastructure to deliver 24 new units.,,In Planning,Funding Source Confirmed,To be determined,To be determined,Auckland,,,Housing,5 - 25 million,,,,,,2024-Q4,2021-Q3,2024-Q4,,,imo@kaingaora.govt.nz,,
kaOrProject_1017,31/12/2023,Kāinga Ora–Homes and Communities,Northcote Road   Te Hapara  Gisborne.,This housing development project includes infrastructure to deliver 4 new units.,,Under Construction,Fully funded,To be determined,To be determined,Gisborne,,,Housing,< 1 million,2022-Q3,,,,2023-Q2,2024-Q1,2021-Q4,2024-Q1,,,imo@kaingaora.govt.nz,,
