"PrimaryKey","InformationSubmissionQuarter","ProjectName","ProjectStatus","FundingStatus","ProcurementType","ProjectRegion","ProjectCityTown","CommissionAssignedInfrastructureSector","EstimatedProjectValueRange","EstimatedQuarterBusinessCaseStart","EstimatedQuarterBusinessCaseCompletion","EstimatedQuarterConstructionStart","EstimatedQuarterConstructionCompletion","EstimatedQuarterProjectRangeStart","EstimatedQuarterProjectRangeCompletion","complete","completedonorbefore","total_delay","planned_duration","actual_duration","delay_ratio","budget_min","budget_max","funding_status_indicator","project_status_indicator","completed_on_time","ProjectRegionCode","GDP_Start","CPI_Start","GDP_End","CPI_End","GDP_Delta_Percent","CPI_Delta_Percent"
"IP012962","2024-Q3","1520_001 - Waihi Off Street Car Park Renewal","On hold","Fully funded","Open","Waikato","Hauraki","Transport","< 1 million",NA,NA,NA,NA,2024-07-01,2034-04-01,0,NA,NA,3561,3561,NA,1,1,0,0,NA,16,69.52124,3.42672,77.72758,1.99759,11.8040759917401,-41.7054792921511
"IP012963","2024-Q3","1520_002 - Silverton Carpark Renewal","In procurement","Fully funded","Open","Waikato","Hauraki","Transport","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP012964","2024-Q3","1521_001 - Paeroa Refuse Transfer Station Development (2)","Early planning","Fully funded","To be determined","Waikato","Hauraki","Waste","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP012965","2024-Q3","1522_001 - Waihi Upgrading WWTP","Early planning","Fully funded","To be determined","Waikato","Hauraki","Water","5 - 25 million",NA,NA,NA,NA,2031-07-01,2034-04-01,0,NA,NA,1005,1005,NA,5,25,0,0,NA,16,77.72758,1.99759,77.72758,1.99759,0,0
"IP012966","2024-Q3","1523_001 - Junction Road Storage Chamber","Early planning","Fully funded","To be determined","Waikato","Hauraki","Water","< 1 million",NA,NA,NA,NA,2029-07-01,2030-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,77.72758,1.99759,77.72758,1.99759,0,0
"IP012967","2024-Q3","1524_001 - Victoria Street Flowmeter renewal","Early planning","Fully funded","To be determined","Waikato","Hauraki","Water","< 1 million",NA,NA,NA,NA,2032-07-01,2033-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,77.72758,1.99759,77.72758,1.99759,0,0
"IP012968","2024-Q3","1525_001 - Kerepehi Waveband Renewals","Early planning","Fully funded","To be determined","Waikato","Hauraki","Water","< 1 million",NA,NA,NA,NA,2027-07-01,2028-04-01,0,NA,NA,275,275,NA,1,1,0,0,NA,16,75.72233,2.008215,77.22976,1.996746,1.99073377694532,-0.571104189541456
"IP012969","2024-Q3","1526_001 - Chambers Restaurant Waihi - replace roof","Early planning","Fully funded","To be determined","Waikato","Hauraki","Industrial and Commercial","< 1 million",NA,NA,NA,NA,2029-07-01,2030-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,77.72758,1.99759,77.72758,1.99759,0,0
"IP012970","2024-Q3","1527_001 - Dog Pound - Paeroa","Early planning","Fully funded","To be determined","Waikato","Hauraki","Community","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP012971","2024-Q3","1528_001 - Hauraki House Garages and Bike Shed","Early planning","Fully funded","To be determined","Waikato","Hauraki","Industrial and Commercial","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP012972","2024-Q3","1529_001 - Paeroa Croquet Clubrooms roof replacement","Early planning","Fully funded","To be determined","Waikato","Hauraki","Community","< 1 million",NA,NA,NA,NA,2028-07-01,2029-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,77.72758,1.99759,77.72758,1.99759,0,0
"IP012973","2024-Q3","1530_001 - Paeroa Library - replace air conditioning units","Early planning","Fully funded","To be determined","Waikato","Hauraki","Community","< 1 million",NA,NA,NA,NA,2028-07-01,2029-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,77.72758,1.99759,77.72758,1.99759,0,0
"IP012975","2024-Q3","1532_001 - Waihi Plunket Rooms","Early planning","Fully funded","To be determined","Waikato","Hauraki","Community","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP012976","2024-Q3","1533_001 - Waihi Service Centre Outdoor Lunch Area","Early planning","Fully funded","To be determined","Waikato","Hauraki","Community","< 1 million",NA,NA,NA,NA,2026-07-01,2027-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,73.65541,2.048457,75.21558,2.014421,2.11820150074516,-1.66154329819957
"IP012977","2024-Q3","1534_001 - Whiritoa Emergency Centre Asphalt Carpark","Early planning","Fully funded","To be determined","Waikato","Hauraki","Transport","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP012978","2024-Q3","1535_001 - Whiritoa Emergency Centre Replace Roof","Early planning","Fully funded","To be determined","Waikato","Hauraki","Community","< 1 million",NA,NA,NA,NA,2029-07-01,2030-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,77.72758,1.99759,77.72758,1.99759,0,0
"IP012979","2024-Q3","1536_001 - Hauraki House HVAC Work to Increase Fresh Air Supply to Hauraki House","Early planning","Fully funded","To be determined","Waikato","Hauraki","Industrial and Commercial","< 1 million",NA,NA,NA,NA,2024-07-01,2030-04-01,0,NA,NA,2100,2100,NA,1,1,0,0,NA,16,69.52124,3.42672,77.72758,1.99759,11.8040759917401,-41.7054792921511
"IP012980","2024-Q3","1537_001 - Plains Community Hub FF&E","Early planning","Fully funded","To be determined","Waikato","Hauraki","Community","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP012981","2024-Q3","1538_001 - Plains Community Hub Carpark Renewal","Early planning","Fully funded","To be determined","Waikato","Hauraki","Transport","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP012982","2024-Q3","1543_001 - Whiritoa Emergency Centre Solar Panels (Firestation)","Early planning","Fully funded","To be determined","Waikato","Hauraki","Energy","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP012983","2024-Q3","1544_001 - Waste Management Infrastructure","Early planning","Fully funded","To be determined","Waikato","Hauraki","Waste","1 - 5 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,5,0,0,NA,16,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP012984","2024-Q3","1544_002 - Safety Barriers at Paeroa - LoS- Renewal","Early planning","Fully funded","To be determined","Waikato","Hauraki","Waste","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP012985","2024-Q3","1544_003 - Safety Barriers at Waihi - LoS - Renewal","Early planning","Fully funded","To be determined","Waikato","Hauraki","Transport","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP012986","2024-Q3","1544_004 - installation of unmaned weigh bridge.etc - LoS - New growth","Early planning","Fully funded","To be determined","Waikato","Hauraki","Waste","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP012987","2024-Q3","1544_005 - Reseal of the bin approach á- LoS - Renewal","Early planning","Fully funded","To be determined","Waikato","Hauraki","Waste","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP012988","2024-Q3","1544_006 - Refubishment of Office - 20K - LoS - Renewal","Early planning","Fully funded","To be determined","Waikato","Hauraki","Community","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP012989","2024-Q3","1544_007 - Expand concrete slab for steel laydown area - LoS - New","Early planning","Fully funded","To be determined","Waikato","Hauraki","Waste","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP012990","2024-Q3","1544_008 - Constuct a slip lane next to weigh bridge for recycling - LoS - New gr","Early planning","Fully funded","To be determined","Waikato","Hauraki","Transport","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP012991","2024-Q3","1544_009 - Create a new recycle area - LoS - New growth","Early planning","Fully funded","To be determined","Waikato","Hauraki","Waste","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,16,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP004860","2024-Q3","Heretaunga Plains Flood Control Protection","Under construction","Fully funded","To be determined","Hawke's Bay",NA,"Water","5 - 25 million",NA,NA,2021-10-01,2025-04-01,2021-10-01,2025-04-01,1,1,0,1278,1278,0,5,25,0,0,1,5,65.62,4.933586,70.79394,2.389024,7.88469978665041,-51.5763179156095
"IP008948","2024-Q3","Upper Tukituki Flood Control Scheme","Under construction","Fully funded","To be determined","Hawke's Bay",NA,"Water","5 - 25 million",NA,NA,2021-07-01,2025-04-01,2021-07-01,2025-04-01,1,1,0,1370,1370,0,5,25,0,0,1,5,68.294,3.342884,70.79394,2.389024,3.66055583213754,-28.5340442563966
"IP009769","2024-Q3","HBRC Water Security Programme – Heretaunga Flow Enhancement Scheme","On hold","Funding source to be confirmed","To be determined","Hawke's Bay","Hawkes Bay","Water","5 - 25 million",NA,NA,NA,NA,2020-01-01,2023-01-01,0,NA,NA,1096,1096,NA,5,25,0,0,NA,5,65.376,1.853659,69.505,7.219251,6.31577337249142,289.459496056179
"IP009770","2024-Q3","Ahuriri Regional Park","Early planning","Funding source to be confirmed","To be determined","Hawke's Bay","Napier","Community","5 - 25 million",NA,NA,NA,NA,2021-01-01,2031-01-01,0,NA,NA,3652,3652,NA,5,25,0,0,NA,5,66.279,1.436782,77.72758,1.99759,17.273314322787,39.0322261832345
"IP009771","2024-Q3","HBRC Water Security Programme –Tukituki Water Security Projects","In planning","Funding source to be confirmed","To be determined","Hawke's Bay","Hawkes Bay","Water","1 - 5 million",NA,NA,NA,NA,2020-01-01,2025-04-01,0,NA,NA,1917,1917,NA,1,5,0,1,NA,5,65.376,1.853659,70.79394,2.389024,8.28735315712188,28.8815256743554
"IP009772","2024-Q3","Hawea Park - Stage 3","On hold","Funding source confirmed","Selective","Hawke's Bay","Hastings","Community","< 1 million",NA,NA,NA,NA,2021-01-01,2024-01-01,0,NA,NA,1095,1095,NA,1,1,1,0,NA,5,66.279,1.436782,69.307,4.655029,4.56856621252585,223.989930274739
"IP009773","2024-Q3","Waitangi Regional Park - Stage 3","In planning","Funding source confirmed","To be determined","Hawke's Bay","Hawkes Bay","Community","< 1 million",NA,NA,NA,NA,2021-01-01,2025-01-01,0,NA,NA,1461,1461,NA,1,1,1,1,NA,5,66.279,1.436782,70.23492,2.514151,5.9685873353551,74.9848620041175
"IP009774","2024-Q3","Karamū enhancement","On hold","Funding source confirmed","Selective","Hawke's Bay","Hastings","Water","1 - 5 million",NA,NA,NA,NA,2021-01-01,2031-01-01,0,NA,NA,3652,3652,NA,1,5,1,0,NA,5,66.279,1.436782,77.72758,1.99759,17.273314322787,39.0322261832345
"IP009775","2024-Q3","Ngaruroro Cycleway Explorer","In planning","Funding source to be confirmed","Selective","Hawke's Bay","Hawkes Bay","Transport","< 1 million",NA,NA,NA,NA,2023-01-01,2024-04-01,0,NA,NA,456,456,NA,1,1,0,1,NA,5,69.505,7.219251,69.40367,4.013946,-0.145788072800504,-44.3994120719726
"IP009776","2024-Q3","Karumu Cycleway extension","Early planning","Funding source to be confirmed","To be determined","Hawke's Bay","Hastings","Transport","1 - 5 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,5,0,0,NA,5,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP009777","2024-Q3","Wairoa Regional Park development","Early planning","Funding source confirmed","To be determined","Hawke's Bay","Wairoa","Community","< 1 million",NA,NA,NA,NA,2023-01-01,2025-01-01,0,NA,NA,731,731,NA,1,1,1,0,NA,5,69.505,7.219251,70.23492,2.514151,1.05016905258615,-65.1743511896179
"IP009778","2024-Q3","Opoho - new pump station","Early planning","Funding source to be confirmed","To be determined","Hawke's Bay","Wairoa","Water","< 1 million",NA,NA,NA,NA,2022-01-01,2027-01-01,0,NA,NA,1826,1826,NA,1,1,0,0,NA,5,67.989,5.949008,74.70523,2.022161,9.87840680110017,-66.0084336749925
"IP009779","2024-Q3","Ohuia - Whakakī - new pump station","In planning","Funding source to be confirmed","To be determined","Hawke's Bay","Wairoa","Water","< 1 million",NA,NA,NA,NA,2021-01-01,2027-01-01,0,NA,NA,2191,2191,NA,1,1,0,1,NA,5,66.279,1.436782,74.70523,2.022161,12.7132726806379,40.7423673180761
"IP009780","2024-Q3","Flood Control / Drainage scheme -  Heretaunga Flood Control Scheme delivery","Early planning","Funding source to be confirmed","To be determined","Hawke's Bay","Hawkes Bay","Water","250 - 500 million",NA,NA,NA,NA,2024-07-01,2034-04-01,0,NA,NA,3561,3561,NA,250,500,0,0,NA,5,69.52124,3.42672,77.72758,1.99759,11.8040759917401,-41.7054792921511
"IP009781","2024-Q3","Flood Control / Drainage scheme -  Upper Tukituki Flood Control Scheme delivery","Early planning","Funding source to be confirmed","To be determined","Hawke's Bay","Hawkes Bay","Water","100 - 250 million",NA,NA,NA,NA,2024-07-01,2034-04-01,0,NA,NA,3561,3561,NA,100,250,0,0,NA,5,69.52124,3.42672,77.72758,1.99759,11.8040759917401,-41.7054792921511
"IP009782","2024-Q3","Flood Control / Drainage scheme -  Warioa  Flood Control Scheme delivery","Early planning","Funding source to be confirmed","To be determined","Hawke's Bay","Hawkes Bay","Water","100 - 250 million",NA,NA,NA,NA,2024-07-01,2034-04-01,0,NA,NA,3561,3561,NA,100,250,0,0,NA,5,69.52124,3.42672,77.72758,1.99759,11.8040759917401,-41.7054792921511
"IP009783","2024-Q3","Development / Coastal Hazards","Early planning","Funding source to be confirmed","To be determined","Hawke's Bay","Hawkes Bay","Water","1 - 5 million",NA,NA,NA,NA,2023-07-01,2032-07-01,0,NA,NA,3288,3288,NA,1,5,0,0,NA,5,69.609,6.029285,77.72758,1.99759,11.6631182749357,-66.8685424556975
"IP009784","2024-Q3","Catchment Management","In planning","Fully funded","Selective","Hawke's Bay","Hawkes Bay","Water","1 - 5 million",NA,NA,NA,NA,2022-07-01,2032-07-01,0,NA,NA,3653,3653,NA,1,5,0,1,NA,5,68.588,7.301294,77.72758,1.99759,13.3253338776463,-72.6406031588373
"IP009785","2024-Q3","Flood Protection and Control Works","In planning","Fully funded","Selective","Hawke's Bay","Hawkes Bay","Water","50 - 100 million",NA,NA,NA,NA,2023-07-01,2031-04-01,0,NA,NA,2831,2831,NA,50,100,0,1,NA,5,69.609,6.029285,77.72758,1.99759,11.6631182749357,-66.8685424556975
"IP009786","2024-Q3","Clive River Dredging - land to dispose","On hold","Funding source to be confirmed","To be determined","Hawke's Bay","Hastings","Water","1 - 5 million",NA,NA,NA,NA,2021-07-01,2025-04-01,0,NA,NA,1370,1370,NA,1,5,0,0,NA,5,68.294,3.342884,70.79394,2.389024,3.66055583213754,-28.5340442563966
"IP009787","2024-Q3","Forestry","Early planning","Funding source to be confirmed","Selective","Hawke's Bay","Hawkes Bay","Community","< 1 million",NA,NA,NA,NA,2023-07-01,2024-04-01,0,NA,NA,275,275,NA,1,1,0,0,NA,5,69.609,6.029285,69.40367,4.013946,-0.294976224338791,-33.4258373919959
"IP009788","2024-Q3","Flood Models - regular exciting updating (software, datum, catchment change)","Early planning","Funding source to be confirmed","Selective","Hawke's Bay","Hawke's Bay","Water","< 1 million",NA,NA,NA,NA,2023-07-01,2031-04-01,0,NA,NA,2831,2831,NA,1,1,0,0,NA,5,69.609,6.029285,77.72758,1.99759,11.6631182749357,-66.8685424556975
"IP009789","2024-Q3","Wairoa playground riverside sheet pile wall replacement","In planning","Funding source to be confirmed","To be determined","Hawke's Bay","Hawke's Bay","Water","1 - 5 million",NA,NA,NA,NA,2023-07-01,2025-04-01,0,NA,NA,640,640,NA,1,5,0,1,NA,5,69.609,6.029285,70.79394,2.389024,1.70227987760205,-60.3763298633254
"IP009790","2024-Q3","Open Spaces_Park beautification programme","In planning","Funding source confirmed","Selective","Hawke's Bay","Hawke's Bay","Community","< 1 million",NA,NA,NA,NA,2023-01-01,2024-04-01,0,NA,NA,456,456,NA,1,1,1,1,NA,5,69.505,7.219251,69.40367,4.013946,-0.145788072800504,-44.3994120719726
"IP009792","2024-Q3","Westshore south corner coastal erosion protection","In planning","Funding source to be confirmed","Selective","Hawke's Bay","Napier","Water","1 - 5 million",NA,NA,NA,NA,2024-07-01,2026-04-01,0,NA,NA,639,639,NA,1,5,0,1,NA,5,69.52124,3.42672,73.10828,2.067911,5.15963179022697,-39.6533419713312
"IP009793","2024-Q3","East Clive and Haumoana groynes re-design and maintenance","Early planning","Funding source to be confirmed","Selective","Hawke's Bay","Hastings","Water","< 1 million",NA,NA,NA,NA,2024-07-01,2026-04-01,0,NA,NA,639,639,NA,1,1,0,0,NA,5,69.52124,3.42672,73.10828,2.067911,5.15963179022697,-39.6533419713312
"IP009795","2024-Q3","Plantation Pumpstation","In planning","Fully funded","Selective","Hawke's Bay","Napier","Water","1 - 5 million",NA,NA,NA,NA,2023-07-01,2024-04-01,0,NA,NA,275,275,NA,1,5,0,1,NA,5,69.609,6.029285,69.40367,4.013946,-0.294976224338791,-33.4258373919959
"IP009796","2024-Q3","Waitangi Regional Park Reserve Access","In planning","Fully funded","To be determined","Hawke's Bay","Hastings","Community","< 1 million",NA,NA,NA,NA,2023-07-01,2024-04-01,0,NA,NA,275,275,NA,1,1,0,1,NA,5,69.609,6.029285,69.40367,4.013946,-0.294976224338791,-33.4258373919959
"IP009797","2024-Q3","Waitangi Regional Park Toilet Block","In planning","Fully funded","Selective","Hawke's Bay","Hastings","Community","< 1 million",NA,NA,NA,NA,2023-07-01,2024-04-01,0,NA,NA,275,275,NA,1,1,0,1,NA,5,69.609,6.029285,69.40367,4.013946,-0.294976224338791,-33.4258373919959
"IP009798","2024-Q3","Clive River Fico Removal","On hold","Fully funded","Selective","Hawke's Bay","Hastings","Water","< 1 million",NA,NA,NA,NA,2024-07-01,2025-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,5,69.52124,3.42672,70.79394,2.389024,1.83066354972955,-30.2824858757062
"IP009799","2024-Q3","Whakaki Weir","Under construction","Fully funded","Selective","Hawke's Bay","Hastings","Water","< 1 million",NA,NA,NA,NA,2024-01-01,2024-04-01,0,NA,NA,91,91,NA,1,1,0,0,NA,5,69.307,4.655029,69.40367,4.013946,0.139480860519144,-13.7718368671817
"IP009800","2024-Q3","Makara Dam Desiltation","Under construction","Funding source confirmed","Selective","Hawke's Bay","Hastings","Water","< 1 million",NA,NA,NA,NA,2024-01-01,2024-10-01,0,NA,NA,274,274,NA,1,1,1,0,NA,5,69.307,4.655029,69.83852,2.715554,0.766906661664768,-41.6640798585788
"IP009802","2024-Q3","Taradale Carpark PUR","Under construction","Funding source confirmed","Selective","Hawke's Bay","Napier","Transport","< 1 million",NA,NA,NA,NA,2023-07-01,2024-04-01,0,NA,NA,275,275,NA,1,1,1,0,NA,5,69.609,6.029285,69.40367,4.013946,-0.294976224338791,-33.4258373919959
"IP009803","2024-Q3","Ahuriri Regional Park Cycleway future enhancement","Early planning","Funding source to be confirmed","Selective","Hawke's Bay","Napier","Transport","< 1 million",NA,NA,NA,NA,2024-07-01,2024-10-01,0,NA,NA,92,92,NA,1,1,0,0,NA,5,69.52124,3.42672,69.83852,2.715554,0.456378511085241,-20.7535485829014
"IP009804","2024-Q3","Esk Valley Feasibility Cycleway study","Early planning","Funding source to be confirmed","To be determined","Hawke's Bay","Hastings","Transport","< 1 million",NA,NA,NA,NA,2025-07-01,2026-04-01,0,NA,NA,274,274,NA,1,1,0,0,NA,5,71.39126,2.23914,73.10828,2.067911,2.4050843198453,-7.64708772117866
"IP009805","2024-Q3","Whakakī Lower Catchment Pilot Project deal","Early planning","Funding source to be confirmed","To be determined","Hawke's Bay","Hawkes Bay","Water","< 1 million",NA,NA,NA,NA,2020-01-01,2027-01-01,0,NA,NA,2557,2557,NA,1,1,0,0,NA,5,65.376,1.853659,74.70523,2.022161,14.2701144150759,9.09023720112492
"IP000001","2024-Q3","Facilities Infrastructure Remediation Programme - Tranche 1","Under construction","Fully funded","To be determined","Auckland","Auckland","Social","250 - 500 million",NA,2018-07-01,2019-04-01,2025-04-01,2018-07-01,2025-04-01,1,1,0,2466,2466,0,250,500,0,0,1,1,62.626,1.5,70.79394,2.389024,13.0424105004311,59.2682666666667
"IP000008","2024-Q3","Acute Radiology Unit Relocation, Middlemore Hospital","Under construction","Fully funded","Open","Auckland","Auckland","Social","25 - 50 million",NA,2019-10-01,2024-04-01,2026-01-01,2019-10-01,2026-01-01,1,1,0,2284,2284,0,25,50,0,0,1,1,64.868,1.464844,72.54655,2.100296,11.8371924523648,43.3801824631155
"IP000013","2024-Q3","Project Whakatuputupu - New Dunedin Hospital (Inpatient)","In procurement","Fully funded","Limited","Otago","Dunedin","Social","1 billion +",NA,2021-04-01,2025-01-01,2029-10-01,2021-04-01,2029-10-01,1,1,0,3105,3105,0,1,1,0,0,1,11,67.481,1.520913,77.72758,1.99759,15.1843926438553,31.3415034259027
"IP000013.1","2024-Q3","Project Whakatuputupu - New Dunedin Hospital (Outpatient)","Under construction","Fully funded","Open","Otago","Dunedin","Social","250 - 500 million",NA,2021-04-01,2022-04-01,2026-07-01,2021-04-01,2026-07-01,1,1,0,1917,1917,0,250,500,0,0,1,11,67.481,1.520913,73.65541,2.048457,9.14984958729125,34.6860076809127
"IP000014","2024-Q3","Construction of new building, Tōtara Haumaru North Shore Hospital","Post implementation","Fully funded","Limited","Auckland","Auckland","Social","250 - 500 million",NA,2019-04-01,2020-10-01,2024-04-01,2019-04-01,2024-04-01,1,1,0,1827,1827,0,250,500,0,0,1,1,64.14,1.48368,69.40367,4.013946,8.20653258497038,170.53987382724
"IP000601","2024-Q3","Acute Mental Health Unit - new build to replace the existing facility at Palmerston North Hospital","Under construction","Fully funded","Open","Manawatū - Whanganui","Palmerston North","Social","50 - 100 million",NA,2020-10-01,2023-01-01,2025-04-01,2020-10-01,2025-04-01,1,1,0,1643,1643,0,50,100,0,0,1,6,66.175,1.443696,70.79394,2.389024,6.97988666414811,65.4797131806142
"IP000602","2024-Q3","Te Pae Tawhiti - Mental Health Adult Acute Inpatient Facility replacement and renal facilities","Under construction","Fully funded","Open","Waikato","Hamilton","Social","100 - 250 million",NA,2022-04-01,2023-07-01,2026-07-01,2022-04-01,2026-07-01,1,1,0,1552,1552,0,100,250,0,0,1,16,67.898,6.928839,73.65541,2.048457,8.47949865975435,-70.4357829645053
"IP000603","2024-Q3","Taranaki Base Hospital Redevelopment","Under construction","Fully funded","Open","Taranaki","Taranaki","Social","250 - 500 million",NA,2020-07-01,2022-04-01,2025-04-01,2020-07-01,2025-04-01,1,1,0,1735,1735,0,250,500,0,0,1,14,58.01,1.453488,70.79394,2.389024,22.0374762971902,64.3648932774127
"IP000604","2024-Q3","Gisborne Hospital - Te Whare Awhiora - Acute Mental Health and Addictions Facility","Under construction","Fully funded","Open","Gisborne","Gisborne","Social","25 - 50 million",NA,2020-07-01,2022-07-01,2024-10-01,2020-07-01,2024-10-01,1,1,0,1553,1553,0,25,50,0,0,1,4,58.01,1.453488,69.83852,2.715554,20.3904843992415,86.8301630285218
"IP000607","2024-Q3","Hutt Hospital Acute Mental Health Unit Tranche 1 - Enabling Works","Under construction","Fully funded","Direct","Wellington","Lower Hutt","Social","5 - 25 million",NA,2022-04-01,2022-07-01,2024-10-01,2022-04-01,2024-10-01,1,1,0,914,914,0,5,25,0,0,1,18,67.898,6.928839,69.83852,2.715554,2.85799287166044,-60.807950653782
"IP000608","2024-Q3","Starship Paediatric Intensive Care Unit (PICU) Bed Expansion and Atrium Redevelopment","Under construction","Fully funded","To be determined","Auckland","Auckland","Social","25 - 50 million",NA,2020-10-01,2022-04-01,2026-01-01,2020-10-01,2026-01-01,1,1,0,1918,1918,0,25,50,0,0,1,1,66.175,1.443696,72.54655,2.100296,9.62833396297695,45.4804889672064
"IP000610","2024-Q3","MidCentral Surgical Procedural Interventional Recovery Expansion","Post implementation","Fully funded","Selective","Manawatū - Whanganui","Palmerston North","Social","25 - 50 million",NA,2020-07-01,2021-10-01,2023-10-01,2020-07-01,2023-10-01,1,1,0,1187,1187,0,25,50,0,0,1,6,58.01,1.453488,69.371,5.649241,19.5845543871746,288.667880298977
"IP003168","2024-Q3","Manukau Superclinic expansion and planned care capacity increase, Manukau Health Park","Under construction","Fully funded","Selective","Auckland","Auckland","Social","250 - 500 million",NA,2020-10-01,2022-01-01,2025-10-01,2020-10-01,2025-10-01,1,1,0,1826,1826,0,250,500,0,0,1,1,66.175,1.443696,71.97811,2.149748,8.76933887419721,48.9058638383704
"IP003169","2024-Q3","Building Recladding, Middlemore Hospital","In procurement","Fully funded","Open","Auckland","Auckland","Social","25 - 50 million",NA,2021-10-01,2025-04-01,2027-04-01,2021-10-01,2027-04-01,1,1,0,2008,2008,0,25,50,0,0,1,1,65.62,4.933586,75.21558,2.014421,14.6229503200244,-59.1692330892783
"IP003174","2024-Q3","Linear Accelerators Replacement, Auckland City Hospital","Under construction","Fully funded","Selective","Auckland","Auckland","Social","5 - 25 million",NA,2021-01-01,2023-07-01,2024-07-01,2021-01-01,2024-07-01,1,1,0,1277,1277,0,5,25,0,0,1,1,66.279,1.436782,69.52124,3.42672,4.89180585102372,138.499647128096
"IP003175","2024-Q3","Wellington Hospital Copper Pipes -Tranche 1","Under construction","Fully funded","Open","Wellington","Wellington","Social","50 - 100 million",NA,2020-10-01,2021-01-01,2026-10-01,2020-10-01,2026-10-01,1,1,0,2191,2191,0,50,100,0,0,1,18,66.175,1.443696,74.1876,2.0319,12.1081979599547,40.742926488679
